Tipo;CNPJ Organização mapeada;Dado Convertido;Dado Original Organização
Código EAN de produto para código DUN;01157555001186   ;27896584300219;17896584300229
Código EAN de produto para código DUN;75315333000109   ;27896584300219;17896584300229
Código EAN de produto para código DUN;05929873000105   ;17896584300519;17896584300342
Código EAN de produto para código DUN;01157555001186   ;27896584300356;17896584300359
Código EAN de produto para código DUN;03966019000185   ;27896584300455;17896584300373
Código EAN de produto para código DUN;01157555001186   ;27896584300448;27896584300165
Código EAN de produto para código DUN;46499224000190   ;17896584300106;27896584300530
Código EAN de produto para código DUN;46499224000190   ;27896584300219;27896584300592
Código EAN de produto para código DUN;46499224000190   ;17896584300571;37896584300018
Código EAN de produto para código DUN;75315333000109   ;17896584300014;37896584300018
Código EAN de produto para código DUN;46499224000190   ;17896584300038;37896584300032
Código EAN de produto para código DUN;93209765000117   ;27896584300073;37896584300094
Código EAN de produto para código DUN;93209765000117   ;27896584300073;37896584300094
Código EAN de produto para código DUN;45543915000181   ;27896584300073;37896584300094
Código EAN de produto para código DUN;75315333000109   ;27896584300073;37896584300094
Código EAN de produto para código DUN;45543915000181   ;17896584300014;7896584300017
Código EAN de produto para código DUN;05929873000105   ;17896584300014;7896584300017
Código EAN de produto para código DUN;45543915000181   ;17896584300014;7896584300024
Código EAN de produto para código DUN;45543915000181   ;17896584300038;7896584300031
Código EAN de produto para código DUN;05929873000105   ;17896584300038;7896584300031
Código EAN de produto para código DUN;45543915000181   ;27896584300042;7896584300048
Código EAN de produto para código DUN;05929873000105   ;27896584300042;7896584300048
Código EAN de produto para código DUN;05929873000105   ;17896584300052;7896584300055
Código EAN de produto para código DUN;45543915000181   ;17896584300076;7896584300079
Código EAN de produto para código DUN;05929873000105   ;17896584300076;7896584300079
Código EAN de produto para código DUN;45543915000181   ;27896584300103;7896584300109
Código EAN de produto para código DUN;05929873000105   ;27896584300103;7896584300109
Código EAN de produto para código DUN;45543915000181   ;17896584300595;7896584300215
Código EAN de produto para código DUN;05929873000105   ;17896584300212;7896584300215
Código EAN de produto para código DUN;45543915000181   ;17896584300267;7896584300260
Código EAN de produto para código DUN;45543915000181   ;17896584300274;7896584300277
Código EAN de produto para código DUN;45543915000181   ;17896584300359;7896584300352
Código EAN de produto para código DUN;05929873000105   ;27896584300455;7896584300451
Código EAN de produto para código DUN;05929873000105   ;17896584300533;7896584300536
Código EAN de produto para código DUN;05929873000105   ;17896584300571;7896584300574
Código EAN de produto para código DUN;05929873000105   ;17896584300588;7896584300581
Código EAN de produto para código DUN;05929873000105   ;17896584300595;7896584300598
Código EAN de produto para código DUN;05929873000105   ;17896584301271;7896584301274
Código EAN de produto para código DUN;45543915000181   ;17896584301301;7896584301304
Código EAN de produto para código DUN;45543915000181   ;17896584301325;7896584301328
Código EAN de produto para código DUN;45543915000181   ;17896584301332;7896584301335
Código EAN de produto para código DUN;45543915000181   ;17896584301349;7896584301342
Código EAN de produto para código DUN;45543915000181   ;17896584301356;7896584301359
Código EAN de produto para código DUN;45543915000181   ;17896584301394;7896584301397
Código EAN de produto para código DUN;45543915000181   ;27896584301407;7896584301403
